,AA,BB,CC,DD,EE,FF,GG,HH,II,JJ,KK,LL,MM,NN,OO,PP,QQ,RR,SS,TT,UU,VV,WW,XX,YY,ZZ,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,Overall
1,NA,100,100,100,100,100,100,100,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,100,50,50,100,100,100,100,NA,NA,95.45454545
2,100,100,100,100,100,100,NA,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75,100,100,100,100,100,100,100,100,100,100,99.28571429
3,100,100,75,100,100,50,100,NA,NA,100,100,50,100,75,100,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95
4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
5,100,50,75,25,50,100,100,75,75,50,75,75,50,100,100,100,100,100,100,100,100,75,75,75,100,100,75,100,100,75,75,75,75,100,100,75,75,82.43243243
6,100,100,100,100,100,100,100,100,100,100,NA,NA,NA,100,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
7,75,75,NA,100,100,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,100,NA,75,75,75,100,NA,NA,75,75,NA,NA,75,75,75,NA,75,75,75,50,NA,NA,78.94736842
8,75,100,100,100,100,100,100,100,NA,NA,100,100,100,100,100,100,100,100,100,100,75,75,100,75,100,100,75,100,NA,75,75,75,100,NA,100,100,100,93.93939394
9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
10,50,50,75,75,75,75,25,50,50,50,100,100,100,75,50,50,50,50,50,50,50,75,50,50,50,50,75,75,75,75,75,50,50,75,50,75,75,62.83783784
11,100,NA,75,75,75,75,75,75,75,NA,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,NA,75,75,75,75,NA,75,75,75,75,75,75,75.75757576
12,75,100,100,100,100,100,100,100,100,100,100,75,75,100,100,100,100,100,100,100,100,100,100,100,100,100,75,100,100,100,100,100,100,100,100,100,100,97.2972973
13,0,25,100,100,100,100,100,100,NA,100,100,75,100,100,100,100,100,100,100,100,75,100,100,100,100,100,100,75,NA,50,75,100,100,100,100,100,100,90.71428571
14,100,NA,100,100,100,100,NA,NA,NA,NA,50,75,100,100,100,100,100,100,100,100,NA,100,100,100,100,100,50,100,100,50,75,75,75,100,100,100,100,91.93548387
15,100,100,100,100,100,100,100,100,100,100,100,75,100,NA,NA,NA,NA,NA,NA,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,100,100,100,100,100,100,99.03846154
16,100,100,100,100,75,100,100,100,100,100,100,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,100,100,100,100,100,100,95.94594595
17,0,NA,100,100,100,100,100,100,100,100,0,NA,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,75,100,100,100,100,100,92.24137931
18,NA,100,50,100,100,NA,NA,NA,NA,NA,100,50,100,100,100,100,100,100,100,100,100,75,75,75,75,75,100,100,100,100,50,75,75,100,100,NA,NA,88.79310345
19,100,100,75,50,100,100,100,100,100,100,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,25,25,75,75,75,100,100,100,91.21621622
